-------------------- Range test log --------------------
Started at 2021-01-04 09:42:27.024957
timestamp;Source;interface;rssi[dBm]>>>>
1609753347.159083;;RMA;0;-82.300003
1609753347.314327;;RMB;0;-12.300000
1609753347.58293;;RMA;1;-22.299999
1609753347.78877;;RMB;1;-52.299999
1609753348.297686;;RMA;0;-54.299999
1609753348.508935;;RMB;0;-38.299999
1609753348.747357;;RMA;0;-52.299999
1609753348.94806;;RMB;0;-48.299999
1609753349.171184;;RMA;0;-82.300003
1609753349.371868;;RMB;0;-12.300000
1609753349.625539;;RMA;1;-22.299999
1609753349.861305;;RMB;1;-52.299999
1609753350.416217;;RMA;0;-54.299999
1609753350.615972;;RMB;0;-38.299999
1609753350.889589;;RMA;0;-52.299999
1609753351.110675;;RMB;0;-48.299999
1609753351.415433;;RMA;0;-82.300003
1609753351.612058;;RMB;0;-12.300000
1609753351.866394;;RMA;1;-22.299999
1609753352.057771;;RMB;1;-52.299999
1609753352.607621;;RMA;0;-54.299999
1609753352.756963;;RMB;0;-38.299999
